texto,sentimiento
Se rompió al primer uso,negativo
Buena atención y envío cuidado,positivo
Gran relación precio-calidad,positivo
Terrible experiencia de compra,negativo
Pésima atención al cliente,negativo
Precio justo y entrega puntual,positivo
Todo perfecto de principio a fin,positivo
Se rompió al primer uso,negativo
Volvería a comprar sin dudarlo,positivo
"Una decepción total, no lo recomiendo",negativo
No vale lo que cuesta,negativo
Tardaron demasiado en responder mi reclamo,negativo
El empaque llegó impecable,positivo
Pésima atención al cliente,negativo
Se rompió al primer uso,negativo
Precio justo y entrega puntual,positivo
El envío fue un desastre,negativo
"Llegó incompleto, faltaban partes",negativo
No vale lo que cuesta,negativo
"Llegó incompleto, faltaban partes",negativo
"Una decepción total, no lo recomiendo",negativo
Buena atención y envío cuidado,positivo
Terrible experiencia de compra,negativo
Tardaron demasiado en responder mi reclamo,negativo
Llegó tarde y en mal estado,negativo
"Llegó incompleto, faltaban partes",negativo
Muy satisfecho con el resultado,positivo
"Producto tal cual se describe, muy recomendable",positivo
El producto no se parece a la foto,negativo
Terrible experiencia de compra,negativo
Cumple perfectamente lo que promete,positivo
"Excelente producto, lo recomiendo totalmente",positivo
Precio justo y entrega puntual,positivo
Tardaron demasiado en responder mi reclamo,negativo
Buena atención y envío cuidado,positivo
Buena atención y envío cuidado,positivo
Precio justo y entrega puntual,positivo
No funciona como se anuncia,negativo
"Excelente producto, lo recomiendo totalmente",positivo
Muy satisfecho con el resultado,positivo
Una pérdida de dinero,negativo
Volvería a comprar sin dudarlo,positivo
El vendedor resolvió todas mis dudas rápidamente,positivo
No funciona como se anuncia,negativo
"Excelente producto, lo recomiendo totalmente",positivo
"Una decepción total, no lo recomiendo",negativo
Se rompió al primer uso,negativo
Se rompió al primer uso,negativo
Gran relación precio-calidad,positivo
"Funciona de maravilla, no tengo quejas",positivo
"Muy mala calidad, se rompió enseguida",negativo
No vale lo que cuesta,negativo
Cumple perfectamente lo que promete,positivo
Llegó rápido y funciona perfecto,positivo
Una pérdida de dinero,negativo
Terrible experiencia de compra,negativo
Todo perfecto de principio a fin,positivo
Terrible experiencia de compra,negativo
Precio justo y entrega puntual,positivo
"Muy mala calidad, se rompió enseguida",negativo
"Funciona de maravilla, no tengo quejas",positivo
Precio justo y entrega puntual,positivo
Gran relación precio-calidad,positivo
Llegó tarde y en mal estado,negativo
Todo perfecto de principio a fin,positivo
"Excelente producto, lo recomiendo totalmente",positivo
Muy satisfecho con el resultado,positivo
Todo perfecto de principio a fin,positivo
El material es de baja calidad,negativo
No cumple con lo prometido,negativo
El material es de baja calidad,negativo
"Excelente producto, lo recomiendo totalmente",positivo
"Producto tal cual se describe, muy recomendable",positivo
Se rompió al primer uso,negativo
Todo perfecto de principio a fin,positivo
No funciona como se anuncia,negativo
Volvería a comprar sin dudarlo,positivo
No cumple con lo prometido,negativo
"Producto tal cual se describe, muy recomendable",positivo
No cumple con lo prometido,negativo
Buena atención y envío cuidado,positivo
El producto no se parece a la foto,negativo
"Muy buena calidad, superó mis expectativas",positivo
No cumple con lo prometido,negativo
El vendedor resolvió todas mis dudas rápidamente,positivo
"Producto tal cual se describe, muy recomendable",positivo
El envío fue un desastre,negativo
Pésima atención al cliente,negativo
Llegó rápido y funciona perfecto,positivo
El envío fue un desastre,negativo
"Producto tal cual se describe, muy recomendable",positivo
Tardaron demasiado en responder mi reclamo,negativo
Pésima atención al cliente,negativo
"Una decepción total, no lo recomiendo",negativo
Se rompió al primer uso,negativo
El producto no se parece a la foto,negativo
Todo perfecto de principio a fin,positivo
Estoy muy conforme con la compra,positivo
Buena atención y envío cuidado,positivo
Buena atención y envío cuidado,positivo
"Una decepción total, no lo recomiendo",negativo
"Excelente producto, lo recomiendo totalmente",positivo
No vale lo que cuesta,negativo
El empaque llegó impecable,positivo
"Funciona de maravilla, no tengo quejas",positivo
Todo perfecto de principio a fin,positivo
Estoy muy conforme con la compra,positivo
No cumple con lo prometido,negativo
No vale lo que cuesta,negativo
Cumple perfectamente lo que promete,positivo
Llegó rápido y funciona perfecto,positivo
Se rompió al primer uso,negativo
Terrible experiencia de compra,negativo
Llegó rápido y funciona perfecto,positivo
Terrible experiencia de compra,negativo
Todo perfecto de principio a fin,positivo
Una pérdida de dinero,negativo
Gran relación precio-calidad,positivo
Tardaron demasiado en responder mi reclamo,negativo
"Excelente producto, lo recomiendo totalmente",positivo
