texto,sentimiento
"Que buenísimo, llegó roto justo el día que lo necesitaba",negativo
No está nada mal para el precio que pagué,positivo
"No es que sea malo, pero tampoco lo compraría de nuevo",negativo
Increíble... tres semanas de espera para esto,negativo
El diseño me encanta pero la calidad deja bastante que desear,negativo
No me arrepiento para nada de esta compra,positivo
"Justo lo que necesitaba, ni más ni menos",positivo
"Funciona, pero no esperen ninguna maravilla",negativo
"Nada que objetar, todo salió como esperaba",positivo
"Un producto que no defrauda ni sorprende, cumple y ya",positivo
