texto,sentimiento
"el producto llegó en perfecto estado y antes de lo esperado",positiva
"pésima experiencia, el paquete llegó abierto y faltaban piezas",negativa
"muy buena relación precio calidad, lo volvería a comprar",positiva
"el vendedor nunca respondió mis mensajes, mala atención",negativa
"superó mis expectativas, calidad excelente",positiva
"se rompió a la semana de uso, no lo recomiendo",negativa
"envío rapidísimo, tal cual la descripción",positiva
"la caja llegó totalmente destruida y el producto dañado",negativa
"funciona perfecto, instalación sencilla y buen material",positiva
"tardó un mes en llegar y encima vino incompleto",negativa
"excelente atención del vendedor, resolvió todas mis dudas",positiva
"la calidad es muy inferior a lo que mostraban las fotos",negativa
"quedé conforme, cumplió con lo prometido",positiva
"no funciona como se anuncia, una estafa total",negativa
"buenísima compra, ya la recomendé a mi familia",positiva
"el color no coincide para nada con la foto publicada",negativa
"llegó bien empaquetado y funciona de diez",positiva
"cancelaron mi pedido sin avisarme, terrible servicio",negativa
"precio justo y producto de buena calidad",positiva
"nunca llegó el pedido, pedí el reembolso",negativa
