texto,sentimiento
Superó ampliamente lo que esperábamos por el precio pagado,positivo
El gimnasio estaba muy bien equipado y siempre disponible,positivo
Nos sorprendió gratamente la limpieza diaria y la prolijidad,positivo
"Ruido constante de la calle, imposible descansar",negativo
La pileta y el spa hicieron que la estadía fuera inolvidable,positivo
"Todo funcionó perfecto, desde la reserva hasta el checkout",positivo
La comida del restaurante del hotel era mediocre y cara,negativo
El wifi no funcionaba en ningún lado del hotel,negativo
"Terrible experiencia, pedimos el reembolso y aún lo estamos esperando",negativo
"Silencioso, limpio y con una vista espectacular a la ciudad",positivo
La pileta estaba cerrada por mantenimiento sin previo aviso,negativo
El personal habla varios idiomas y siempre estuvo dispuesto a ayudar,positivo
"Un lugar hermoso, tranquilo y con una atención cálida",positivo
El personal fue descortés cuando reclamamos por el ruido,negativo
Nunca resolvieron el problema con la calefacción,negativo
"Cama comodísima, dormimos como nunca",positivo
La recepción nos ayudó a organizar excursiones sin cobrar comisión,positivo
Reservamos una habitación con vista al mar y nos dieron una interior,negativo
La habitación estaba impecable y el personal fue muy atento,positivo
La ducha tenía muy poca presión de agua durante toda la estadía,negativo
"Volveríamos sin dudarlo, uno de los mejores hoteles en los que estuvimos",positivo
La terraza con vista al mar fue el punto más alto del viaje,positivo
"Excelente ubicación, a pocos metros de todo lo que necesitábamos",positivo
"La limpieza dejaba mucho que desear, encontramos cabellos en la cama",negativo
El aire acondicionado nunca funcionó a pesar de reclamarlo tres veces,negativo
"El desayuno superó nuestras expectativas, variedad enorme",positivo
Cancelaron nuestra reserva sin avisar y tuvimos que buscar otro hotel,negativo
"Un desastre de principio a fin, no lo recomiendo para nada",negativo
"Nos atendieron de diez, resolvieron todo en minutos",positivo
El ascensor estuvo roto los tres días que nos quedamos,negativo
El desayuno era muy pobre para lo que cobraban,negativo
"No hay comparación con las fotos, todo se veía mucho mejor en la web",negativo
"Relación precio-calidad excelente, lo recomiendo totalmente",positivo
"Pésima atención en recepción, nos hicieron esperar más de una hora",negativo
Un hotel boutique con mucho encanto y detalles hermosos,positivo
La habitación olía a humedad y no pudimos dormir bien,negativo
El check-in fue rapidísimo y nos upgradearon la habitación sin costo,positivo
El wifi andaba rapidísimo en toda la habitación,positivo
Cobraron cargos extra que no estaban informados al reservar,negativo
Tardaron una eternidad en hacer el check-in,negativo
